"","Participant","Day","Block","Pnum","Problem","Base","Height","Answer","Practice","Trained","Seen","Time","Correct","ComputeTimeout","InputTimeout","ComputeDuration","InputDuration","FeedbackDuration","BlankDuration","BackspaceCount","Input","Interference4","InterDist4","Interference8","InterDist8","TotalSolved","Phase","Likelihood1","Likelihood2","Likelihood3","CountPhase","AllExpose","ExactSpacing","D1RT","LIK1","LIK2","LIK3","CNTPHS","PHS","allPHS","allCNTPHS","Experiment_Instance","Day_Trial","Milli_sec","Cumulative_Time","Time_Stamp_v2","ID","Instances","TrialTimeSec","TrialTimeMin_diff","TrialTimeSec_sumDiff","TrialTimeSec_sumDiffneg75","T","N","c","s","InvLogTime_diff","CumAveInvLogTime_diff","CumAveInvLogTime_diff_lag1"
"1",2,1,0,1,"9$3=24",9,3,24,1,0,0,10431,1,0,0,4110,3065,2501,751,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10431,10431,10.431,"9$3=24",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"2",2,1,0,2,"5$5=15",5,5,15,1,0,0,9587,0,0,1,1331,5003,2502,751,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9587,20018,20.018,"5$5=15",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"3",2,1,0,3,"4$4=10",4,4,10,1,0,0,8718,0,0,0,3972,1489,2500,753,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8718,28736,28.736,"4$4=10",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"4",2,1,0,4,"5$3=12",5,3,12,1,0,0,14380,1,0,0,9860,1263,2500,754,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14380,43116,43.116,"5$3=12",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"5",2,1,0,5,"6$6=21",6,6,21,1,0,0,14782,1,0,0,10715,815,2500,750,0,21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14782,57898,57.898,"6$6=21",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"6",2,1,0,6,"11$3=30",11,3,30,1,0,0,8296,1,0,0,4206,832,2501,754,0,30,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8296,66194,66.194,"11$3=30",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"7",2,1,0,7,"9$4=30",9,4,30,1,0,0,19377,1,0,0,15468,655,2500,752,0,30,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,19377,85571,85.571,"9$4=30",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"8",2,1,0,8,"4$3=9",4,3,9,1,0,0,8036,1,0,0,3949,833,2502,750,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8036,93607,93.607,"4$3=9",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"9",2,1,0,9,"6$4=18",6,4,18,1,0,0,10441,1,0,0,6156,1031,2500,752,0,18,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10441,104048,104.048,"6$4=18",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"10",2,1,0,10,"8$5=30",8,5,30,1,0,0,10656,1,0,0,6693,711,2500,750,0,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10656,114704,114.704,"8$5=30",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
